article_name,content,neighborhood,is_affordable
Developer pivots from condos to bathhouse at 1010 W. Madison,"Developer Fulton Street Cos. has scrapped plans for a 10-story condominium development in favor of a two-story bathhouse. Located at the northwest corner of W. Madison St and N. Morgan St, the 17,000-square-foot site is currently a surface parking lot. Designed by Gensler, the new scheme envisions a 40,000 square foot, two-story spa set to be occupied by New York-based Bathhouse. The building is set to include a rooftop restaurant and pool. Renderings show a concrete structure with arched bays filled in with opaque glazing. The scheme is a distinct shift from the ten-story condo building, a sign of the struggling condo market in the city. If it had been built, the condo building would have had 25 homes, priced from $2 million to $6 million. With the build-to-suit-lease planned with Bathhouse, construction could begin as soon as the beginning of 2024 with opening targeted for Spring 2025. ",West Loop,0
LaSalle Reimagined: 135 S. LaSalle,"With six finalists for the LaSalle Reimagined presenting their plans to the community, Urbanize is breaking it down by proposal to highlight the design and benefits of each one as the city considers which three to name as winners.  Plagued with vacancies, the corridor is littered with empty historic office buildings that no longer meet the current market demands of new office tenants. Originally announced at the end of September 2022, Mayor Lightfoot and the Department of Planning and Development are offering city funding for proposals along the LaSalle Street corridor. Public resources are expected to include federal tax credits, Cook County property tax incentives, TIF funding, PACE financing, Low Income Housing Tax Credits and other tools. With a large focus on housing and specifically affordable housing, all proposals must include 30% affordable housing to receive the city support. Located at 135 S. LaSalle, the Field Building is set to be converted into a new mixed-use hub along the corridor. Proposed by Riverside Investment and Development and AmTrustRE, the 1934 tower currently holds 1.2 million square feet and is a city landmark. With the departure of Bank of America in 2020, the building has 900,000 square feet of empty space ready to be repurposed. With Solomon Cordwell Buenz on board as the architect, the building will receive a full restoration of the facade, restoration of the arcades at the base of the building, and windows will be replaced. Vinci Hamp Architects will be consulting on the historic portions of the redesign.  The planned rehab is limited to floors 15 and below, which will be reactivated with 430 residential units and 80,000 square feet of retail space on the first two floors. New residential lobbies will be located at S. LaSalle St and S. Clark St, north of the historic main arcade that runs through the ground floor. The beginning of the retail space will be on the south side of the arcade fronting W. Adams St. The second floor spans 30,000 square feet and was vacated by Bank of America, offering a large space that could become an event space or could house a potential grocer. The original banking hall space has unique features including 16-foot ceilings and a 7,000 square foot area of column-free space. Teaming up with Bluestar Properties for the retail programming, the development team is targeting a grocery tenant to take about 15,000-25,000 square feet of the retail space.  Above the retail space, floors three and four would be converted into 180 parking spaces. With plans to set the spaces back from the windows with walls to hide the cars from the public view, these spaces are deemed vital to the leasing efforts of the retail space especially for attracting a grocery tenant. These parking spaces would be shared with residents, who would also have access to 400+ bike parking spaces. On the residential floors, the original building's layout is no longer conducive to office use but is very well suited to a residential layout. Measuring 40,000 square feet, the floor plate’s quadrant layout allows for an abundance of light and air even in the urban core. These floors will hold 254 studios, 116 one-beds, and 60 two-beds, with 30%, or 129, of them set aside as affordable. Set to cost $258 million, the project would be funded with $115 million in TIF, $34 million in Historic Tax Credits, $30 million from a sponsor/3rd party, and $78 million in debt. With no leasing encumbrances, this is a shovel-ready project. If selected, design would take 9-12 months, then construction would begin in 2024, with the building opening to residents in Q1 2025. The city is currently reviewing the six proposals and plans to select up to three of the finalists to receive city financing. Once that decision is made by the end of month, the city will go through an underwriting process that will take a few months. The proposals will then need approval from the Community Development Commission and City Council for the appropriation of the city funding.  ",The Loop,1
Plan Commission approves music venue at 1675 N. Elston,"The Chicago Plan Commission has approved plans for a new music and entertainment venue at 1675 N. Elston. Located in the North Branch Industrial Corridor, the property was previously a nightclub that got shut down. The existing two-story masonry building on the site will get rehabbed by developer 1675 Holdings LLC who bought the property in 2018 with the intention of re-envisioning the site as a new venue space. Dubbed The Outset, the new entertainment venue will retain the existing two-story masonry building while enlivening the facade with a new mural. On the street-facing elevation, two new windows and an egress door will puncture the currently solid wall and add some transparency along the street. Visitors will enter the property through the adjacent open space before entering the building from the south. Outside, a large outdoor patio will feature extensive landscaping, a center water feature, a food truck parked along the back of the property, and bathroom facilities for patrons. This outdoor space will be screened from the street with a black steel fence with landscaping in front of it. With a relatively small site for the industrial corridor, no car parking is required, and the plan will not provide any. The developer expects most visitors to arrive via rideshare, public transit, biking, or walking. There will be 17 on-site bike parking spaces and the Elston bike lane will be raised up to the sidewalk level and placed inside of the parking lane to avoid door slams from cars stopping to drop people off. The development will also include the addition of 5 more bikes to the existing Divvy station on W. Wabansia Ave.  To allow for the project, the developer is seeking to rezone the property from M3-3 to C2-1 with an overall Planned Development designation. With Chicago Plan Commission approval, the $2 million development will now head to City Hall to receive its final approvals from the Committee on Zoning and full City Council.  ",North Branch,0
Ogden Commons Phase 2 secures financing,"Chicago-based The Habitat Company announced that it has secured financing for Phase 2 at Ogden Commons, a $200 million mixed-use, mixed-income project. Located in North Lawndale, the project is bounded by W. Ogden Ave to the south, S. Fairfield Ave to the west and S. Rockwell St to the east. Developed by The Habitat Company, along with Sinai Health System, Alecko Capital, and the City of Chicago, Ogden Commons is the city’s largest opportunity zone project and was conceived to bring much-needed housing, retail and critical outpatient health services to Chicago’s historically underserved West Side. With financing in place, construction has started on OC Living’s first phase, a 92-unit building that will consist of 90% affordable apartments with the remainder market-rate. Located at 1325 S. Washtenaw, the four-story rental building will offer a mix of 23 studios, 60 one-bedrooms and nine two-bedroom apartments.  The building’s outdoor amenities will include an enclosed rubber-surfaced children’s tot lot with play structures, bike racks, a lighted on-site walking path, landscaped lawn and 110 parking stalls. Indoor amenities, located on the building’s first floor, include package and mail rooms, management and social services offices, a fitness center and bike room. The new residential building will be just steps from Ogden Commons’ three-story commercial building that marked Phase 1 of the 10-acre development and was completed in 2021. The 30,000 square-foot commercial building includes a Wintrust Bank, Momentum Coffee and Sinai Health System’s One Lawndale Express Care Clinic. “We are overjoyed by the positive feedback and impact Ogden Commons is already having on the North Lawndale community in the short amount of time since the opening of the commercial building and Sinai’s outpatient health facilities,” said Matt Fiascone, president of The Habitat Company. “With the first residential building breaking ground, we are now one step closer to fulfilling our vision of a multi-faceted, mixed-use community that combines essential healthcare, housing, retail and office space in one location, while creating new employment opportunities and boosting the local economy.” The residential building is scheduled to be delivered by Spring 2024, with McHugh Construction and Bowa Construction serving as general contractors. Built over multiple phases, the entire project is scheduled to be complete by 2026. ",North Lawndale,1
City Council approves rezoning at 115 S. Francisco,"The Chicago City Council has approved a mixed-use development at 115 S. Francisco. Located in East Garfield Park, the project site is a corner lot at the northeastern corner of S. Francisco Ave and W. Wilcox St. Currently a vacant lot, Black Light Fellowship will be developing the property. Set to rise 38 feet tall, the new mixed-use building will stand three stories tall and be clad in brick masonry. On the ground floor, 5,600 square feet of retail space will be occupied by administrative offices for a book publishing company. The upper two floors will have 8 two-bedroom apartments, accessed via the residential entry on S. Francisco Ave. The project will have zero car parking spaces and provide at least eight bike parking spaces. With City Council approval, the site will be rezoned from RT-4 to C1-3, allowing for the development to move forward. Permits for the new construction have not been filed yet and a timeline is currently unknown. ",East Garfield Park,
Jefferson Park condo plan fails to impress alderman,"The local alderman in Jefferson Park has asked the developer behind a low-rise condominium proposal to redesign their plans for a second time after their latest plan received complaints from community members.  Hudson Construction Services initially proposed a four-story project with a total of 24 units for the former United Methodist Church at 5850 N. Elston Avenue on Chicago's northwest side. Although the scope of the development was later reduced to a three-story complex with 18 for-sale units and 24 parking spaces, neighbors were still unsatisfied. At an in-person community meeting hosted last week by Ald. James Gardiner (45th), residents railed against the revised proposal, calling it too dense, too tall, and not providing enough on-site parking. More than 50 people attended the meeting yet only one individual spoke in favor of the development, according to Block Club Chicago. On Friday, Ald. Gardiner said in his newsletter that he will not support the latest plan and has requested the developers to go back to the drawing board. ""Based on community feedback, I have asked the developer for 5850 N. Elston to submit another proposal that will be more accepting from residents of our community,"" said Gardiner. ""Stay tuned."" The development team sought a zoning change from RS-3 to a B2-2, which would require Gardiner's support. The 24,500-square-foot property at 5850 N. Elston has been up for sale for over a year. The United Methodist Church shut down its Jefferson Park facility after merging with another church. ",Jefferson Park,0
Park District looks to revamp Grant Park framework,"The Chicago Park District opened their community engagement process for the revamp of the Grant Park Framework Plan. Dubbed ‘Chicago’s Front Yard Reimagined’ the effort looks to revisit and update the 2002 Grant Park Framework Plan that is now over 20 years old. Dating back to 1835, Grant Park was originally made to preserve green space from the rapid development occurring in the city. Assembling a large team, the Chicago Park District has brought on UrbanWorks, APMonarch, Confluence, Brush Architects, WSSCG, and Engage Civil. Tasked with creating a comprehensive vision, the new framework plan will outline short- and long-term goals while creating a guide to evaluate future proposals and ideas. This vision will focus on the next 20 years after the previous plan reshaped Grant Park in the last 20 years.  The overall project has four phases. Already complete, the first phase lasted from March until June 2022, working on site verification and program analysis. Currently in Phase 2, this phase is the public engagement portion, beginning back in July 2022 and lasting until July 2023. While public feedback is being received, Phase 3 will begin this month. Lasting until August 2023, this phase will be the design and plan development portion of the project. After Phase 3, the project will be finalized between September 2023 and December 2023, where the final framework plan and report document will be drafted and implemented.  Presenting to the community yesterday, the meeting was the kickoff for the public engagement process of the overall framework plan revamp. While this is the beginning of open public engagement, the Chicago Park District has already been working with a group of stakeholders to identify early priorities. Overall themes from the stakeholder engagement have been preservation and landscape, recreation, events, safety and logistics, and mobility. In the realm of preservation and landscape, common themes include making accessibility accommodations to the park’s historic elements, as well as making accommodations for all of the surrounding residents by adding a playground at the south end of the park and a dog park at the north end of the park.  For recreation, stakeholders have been interested in the park adjusting to current demands by skewing toward pickleball and soccer vs softball, for example. They would like to create more safe and effective spaces to accommodate activities that cater to seniors, while also helping children get involved with public art. Overall, the stakeholders expressed an interest in encouraging visitors of all ages from outside of the immediate area to come to the park.  In regard to events, stakeholders have given suggestions for improvements for events including dedicated staging areas, a system of secondary/service vehicle circulation (including golf carts), infrastructure for temporary stages, and barricade beautification. There have been shared values around minimizing restricted access to the park, keeping the park beautiful during events, “leaving no trace”, and respecting neighboring residents, businesses and institutions. For mobility, there has been the sense that once visitors reach the park, movement is mostly via bikes and walking which can limit access and exploration for certain groups such as families and seniors. Other means of transportation, such as more Divvy stations throughout, people movers, designated golf carts, and free shuttle paths were suggested.   The final theme was safety, where stakeholders brought up the idea that safety and security concerns should not target any specific groups. There was also discussion around the priority that should be given to addressing traffic concerns on Columbus Dr, Lake Shore Drive, and midblock pedestrian crossings at E. Balbo Dr, E. Monroe St, and E. Jackson Dr, with solutions such as speed tables, striped crossings, curb extensions, and limiting the use of those roads. The next steps for the project include three in-person public meetings that will happen this month and into February. After that, the framework will undergo design work before presenting the initial concept design to both stakeholders and another community meeting. After that, the plan will be finalized, presented once again, and finally implemented. ",The Loop,0
Chicago's first indoor track and field facility opens in Pullman,"In Pullman, James McHugh Construction and joint venture partner Bowa Construction have completed Chicago's first Olympic-grade indoor running track. Dubbed the Indoor Track & Field Center at Gately Park, the $53.67 million structure at 10201 S. Cottage Grove Avenue spans nearly 140,000 square feet. The Far South Side facility is home to the area's only hydraulically banked running oval which relies on movable cylinders to vary the angle of the turns. These banked sections of the track can lay flat to accommodate other uses including volleyball, basketball, and non-sporting events. ""This is only the 12th indoor hydraulically banked track of its kind in the U.S., so it was crucial to use the best trade partners to build the track system, which features a complicated series of jacks and pumps within pits at both ends of the track, and all supporting construction such as the super-flat concrete floors,"" said Andy Totten of McHugh Construction in a statement.  The new sports and recreation center was designed by Itasca, Illinois-based Williams Architects. The exterior is wrapped in an aluminum and glass curtainwall, brick-clad architectural precast concrete, traditional masonry veneer, and metal panels. To achieve a column-free layout, the structure's roof was constructed in six massive sections, each spanning 252 by 20 feet and weighing 120 tons. The Gately Indoor Track and Field complex also houses After School Matters programming designed by Eckenhoff Saunders. Amenities include a dance and exercise studio, a culinary teaching kitchen, gathering spaces, a rooftop deck and garden, and multipurpose labs for art, music, science, and technology. Participants and the public will also have access to new baseball fields at Gately Park. First announced back in 2014, the project faced early delays due to Illinois's ongoing budgetary crisis but ultimately secured funding through a combination of city, park district, and private sources—including gifts from Exelon Corporation, Mellody Hobson, and George Lucas. The facility broke ground in mid-2018. The new indoor track is an encouraging development within the greater Pullman community. The facility joins the recently completed Pullman ArtSpace Lofts, the neighborhood's first new multifamily development in more than 60 years.   ",Pullman,0
Alderman Vasquez denies zoning change for proposal at 5400 N. Ashland,"Alderman Vasquez has announced that he will not support the zoning change requested for a proposed development at 5400 N. Ashland. Planned by real estate investor Josh Bradley, the project site is located at the northwest corner of N. Ashland Ave and W. Balmoral Ave. Owned for 30 years by the Gillis family, the site had a proposed 7-unit condo project that was rejected back in 2020. In 2021, the existing home on the site was purchased by someone who renovated the interior and resold it. Bradley and his husband bought the home and property in October 2022. Designed by Compass Architecture LLC, the new construction building would have been a five-story structure topping out at 57 feet tall. With 18 residential units in the building, 16 of them will be two-beds and two will be three-bed configurations. 14 of them would’ve been rented at market-rate, with the other four set aside as affordable. A parking garage at the back of the ground floor would include nine car parking spaces and nine bike parking spaces.  The building’s design includes a palette of materials that references the neighborhood and the Picasso sculpture downtown. The facade’s white brick portion relates to the adjacent building on W. Balmoral Ave, while the red brick corners relate to the building to the north of the site on N. Ashland Ave. The corten steel will clad the upper floors, bringing in something new and sharp into the material palette of the neighborhood. The development was planning to include green building features, such as green roofs with native plantings, LED light fixtures with timers and motion sensors, high efficiency HVAC and appliances, EV charging stations, composting, and the infrastructure for the building to be converted all-electric in the future. The developer was asking to rezone the site from RS-3 to B2-3, but Alderman Vasquez denied the change, citing neighbors' concern for its height and density, its design, and for not having enough affordable units in the building. Vasquez said in a statement that he will be having a follow up meeting with the community to discuss the lack of affordable housing in the area and encouraged the developer to meet with neighbors and address their concerns, encouraging a proposal that would be more aesthetically in line with the neighborhood and at least one floor shorter. ",Andersonville,0
Final landmark approved for Greater Union Baptist Church,"The Commission on Chicago Landmarks has approved a final landmark recommendation for Greater Union Baptist Church. Located at 1956 W. Warren, the church stands at the northeast corner of W. Warren Blvd and N. Damen Ave adjacent to the United Center’s vast parking lots. Originally built in 1886 as the Church of the Redeemer, the church was designed by prolific architect William Le Baron Jenney. In 1928, the church was bought by a black baptist congregation and has been used as their place of worship for the last 94 years.  Meeting Criterion 1 for its value as an example of city, state, or national heritage, the Greater Union Baptist Church traces its origin back to the universalist congregation who built the building. During the Civil War, the men and pastor served in the Union Army. After the war was over, the congregation had grown and raised funds to build the present church. They worshiped for 42 years and during that time provided extensive charitable aid to the community and hosted progressive-era lectures. For its association with two energetic pastors, the building also meets Criterion 3 for significant people. Reverend Shelbia Hamilton Graham preached from 1947 to 1967 and used the pulpit to support the spiritual needs of the congregation as well as the social needs of Chicago’s African-American community at-large. Reverend Dr. Walter A McCray served from 1996 - 2002 and returned to the pulpit in 2018, serving to this day. Reverend McCray has increased community outreach and charitable programs at the church and is a nationally recognized, published biblical scholar. The next criteria the church meets is Criterion 4 for its exemplary architecture. Designed by architect William Le Baron Jenney, the brick church reflects Romanesque Revival with its distinct terracotta details and deep-set round arched windows. Jenney’s distinct articulation is visible on the church, with the single large gables on each facade reflecting his preference for fewer elements at a larger scale rather than smaller repeating forms. His trademark varnished southern pine-clad ceilings are also present in the soaring worship space of the church.  Pairing well with Criterion 4, the church also meets Criterion 5 for its status as a work of a significant architect or designer. As discussed earlier, William Le Baron Jenney is the architect of this church, however he’s best known for the invention of the skyscraper, designing the Home Insurance Building as the first skyscraper in the world. His design philosophy and the use of the metal frame for the skyscraper cleared the way for progressive architecture to flourish in the late 19th century.  Retaining a superb level of integrity, the church also meets the separate Integrity Criterion. Over its 136-year history, the church has endured economic disinvestment in its community and the dramatic change to the neighborhood due to the construction of the United Center and its associated parking lots. With credit due to its congregation, the church is a rare survivor of dire economic issues in the area.  With the final landmark recommendation approved by the Commission on Chicago Landmarks, the proposed designation will protect all exterior elevations and rooflines. The landmark designation must go through the Committee on Zoning and full City Council before the building is officially landmarked.  ",Near West Side,0
Demolition permit issued at 210 N. Morgan,"A demolition permit has been issued for the existing one-story masonry building at 210 N. Morgan. Located midblock between W. Lake St and W. Fulton Market, the site is currently littered with electrical poles which developer Newcastle Limited will bury as part of the pending mixed-use development. With a design from Hartshorne Plunkard Architecture, the approved project is expected to deliver a 33-story mixed-use tower. The building would have 204 residential units, with 4,000 square feet of retail and the building’s residential lobby on the ground floor. The unit mix will consist of 59 studios, 18 convertibles, 72 one-beds, 23 one-bed plus dens, and 33 two-beds. 50 car parking spaces and 118 bike parking spaces will also be provided.  The massing of the tower began with the base DX-7 zoning and an FAR bonus of 4.5. The tower volume was articulated and stepped down towards W. Fulton Market to reduce its impact on the bustling corridor. The shape of the tower was designed to provide a variety of unit types while offering numerous corner units and apartments with balconies. Outdoor terraces will be available at the 4th, 23rd, and 28th floors. As planned, the development would host 41 affordable units to meet the 20% affordability requirement on-site. At a weighted average of 60% AMI, the ARO units will have a mix of 16 studios, 20 one-beds, and 5 two-beds.  With the demolition permit issued, demolition contractor Heneghan Wrecking & Excavating can begin clearing the site to make way for the new development. The developer originally planned to begin construction in the summer of 2023 with an 18-month construction timeline. With new construction permits yet to be filed, an updated timeline for the building is unclear. ",Fulton Market,1
Boutique offices takes shape along evolving North Branch Corridor,"Drivers on the Kennedy Expressway may have noticed an unusual Jenga-like building under construction at 1525 N. Elston Avenue.  Developed by Alex Pearsall of Property Adventures Corp. and designed by Filoramo Talsma Architecture, the six-story structure might look like modular apartments, but it is in fact the latest office project to spring up in the rapidly evolving North Branch Corridor.  “I’ve heard people ask ‘what is that building?,’” said Ari Topper, a broker for 1525 N. Elston with Baum Realty Group. “It doesn’t look like the typical office product you’d find in the area.”  Boutique in the truest sense of the word, the office floorplans will range from just 3,000 and 4,000 square feet in size. In addition to eye-catching architecture, the building will also offer views of downtown Chicago and parking for 21 vehicles. Two of the building’s five office floors are already leased up, according to Topper. The development is on track to deliver space to tenants in the late second or early third quarter of this year. The progress at 1525 N. Elston—despite the pandemic—is an encouraging signal in the ongoing transformation of the once-industrial North Branch Corridor, which borders neighborhoods such as Bucktown, Lincoln Park, and Noble Square. A sweeping 2017 rezoning of the area has catalyzed investment in the area. Developments include nearby adaptive reuse projects like the loft offices at 1308 N. Elston and the recently approved plan to repurpose the Morton Salt Shed into an entertainment complex, as well as the massive Lincoln Yards high-rise megadevelopment.  Plans for a $40 million driving range slated for 2501 N. Damen Avenue, however, recently fell through.  ",North Branch,0
"Downtown high-rise proposal with more than 1,000 apartments moves forward","A proposal from Vancouver-based Pacific Reach Properties for a pair of glassy apartment towers at 601 W. Monroe Street is forging ahead in the city's approval process after the developer filed a recent zoning application for the West Loop Gate project. Rising 47 and 40 stories (535 and 465 feet, respectively) atop a shared podium, the Solomon Cordwell Buenz-designed towers would bring 1,053 rental units, 30,000 square feet of retail, and 430 parking spaces to a 1.5-acre site located between the four Presidential Towers, Heritage Green Park, and Old St. Patrick’s Church. The location is currently home to a surface parking lot.  The two-phase proposal was first revealed by Ald. Brendan Reilly in a February 19 newsletter to neighbors. Reilly said the developer had been working on the proposal since 2018 and the team incorporated a number of changes at the alderman's request. Revisions include cutting the towers down from their original heights of 54 and 47 stories, eliminating a hotel component, increasing retail space, and slightly curbing the amount of parking. The project falls under the city's existing Affordable Requirements Ordinance (ARO) which requires projects that receive a zoning change to provide 10 percent affordable housing (an updated version of the ordinance takes effect in October and bumps the requirements to 20 percent for downtown projects). Pacific Reach will provide seven of its required 105 affordable units on-site and satisfy the remainder of its obligation by paying into the city's Affordable Housing Opportunity Fund, according to the application. The developers will also pay the city $5.5 million for a density bonus.  Mark Marshall, senior vice president of development and construction at Pacific Reach, told the Chicago Tribune in February that his company was ""definitely optimistic"" about the apartment market rebounding post-COVID. If approvals go as planned, the developer aims to break ground on the taller 47-story east tower in early 2022 and deliver the building in mid-2024. The 40-story western tower would open in 2025, Marshall told the newspaper.  Though not quite as ""booming"" as Fulton Market to the west, the area between the Chicago River and Kennedy Expressway is seeing an impressive share of real estate activity. Recent office projects like the adaptive reuse of the Old Post Office will be joined by upcoming commercial developments like BMO Tower and 609 W. Randolph Street. Construction is currently underway on a 373-unit apartment development at 354 N. Union Avenue , and the Chicago Plan Commission recently approved a 413-unit rental tower for the parking lot at 640 W. Washington Boulevard.     ",Downtown,1
Developer scraps plan for four-building megaproject in River West,"An ambitious plan to transform a 7-acre riverfront site at 700 W. Chicago Avenue into a mixed-use development with four high-rises will not move forward. Chicago-based Riverside Investment & Development and joint venture partner Nexstar Media Group have reportedly given up pursuing tenants for their massive River West project, according to the Chicago Tribune. Dubbed 700 at the River District, the four-phase development would have replaced a former Tribune distribution building with three loft-style office buildings, a 300-unit residential tower, and 4.5 acres of open space. First unveiled in 2017, the  Goettsch-designed proposal received the green light from the Chicago Plan Commission in early 2018. Its developers had originally planned to break ground on the first office tower later that year but struggled to secure the commercial tenants necessary to kickstart construction.  Riverside boss John O'Donnell told Tribune reporter Ryan Ori that although his team ""came very close"" to closing tenant deals over the past years, it made little sense to continue the search given the pandemic-related vacancies plaguing the office market.  ""We thought looking for office tenants right now was a waste of time,"" O'Donnell told the newspaper. ""Nobody knows what kind of space they need. Everyone's evaluating. There's so much vacancy downtown, it doesn't make sense to start a new building like that."" The 7-acre parcel is part of the larger mixed-use 'River District' megadevelopment that includes an additional 30 acres of land to the immediate south, which is currently home to the Tribune's massive Freedom Center printing plant. The city granted Tribune Media zoning approval for up to 14 mixed-use buildings with 4,099 residential units at the River District site in late 2018. The company then put the property up for sale in early 2019. Tribune Media and its real estate assets were acquired by Nexstar later that year. It's unclear what happens next for 700 W. Chicago Avenue (or the greater River District project, for that matter). Although the site was once floated as a possible location for the long-discussed Chicago casino, its existing 120,000-square-foot building seems more likely to become a last-mile distribution center, according to the Tribune report.  News of Riverside and Nexstar's redevelopment plan fizzling out arrives just days after Vancouver-based developer Onni Group revealed its own multiphase megaproject on nearby Goose Island. The proposal—called Halsted Point—calls for five glassy towers to rise at the site of a Greyhound bus maintenance facility located just across the Chicago River from the 700 W. Chicago Avenue site. In fact, 700 at the River District appears in the background of several Halsted Point renderings. Whereas 700 at the River District relied heavily on office tenants to get the project off the ground, Halsted Point will focus on building four residential towers containing a combined 2,650 apartments before starting work on its fifth-phase office building.  ""We believe residential is going be much quicker to come back post-pandemic than commercial,"" said Onni's Brian Brodeur at Friday's virtual community meeting. ""That's the reason we've phased our site the way we have, with our commercial building last.""   ",River West,0
Tribune East Tower may still happen,"Almost three years after the tower was originally approved, Tribune East Tower may actually still happen. Approved back in May 2020, the project proposed by CIM Group and Golub & Co was rumored to have been scrapped until now. Located at 421 N. Michigan, developer CIM Group has updated its website with a new bidding opportunity for general contractors. Designed by Adrian Smith + Gordon Gill Architecture, the supertall skyscraper will stand 1,442 feet, just 8 feet shy of Willis Tower’s 1,450 feet. Rising 102 floors, the structure will taper as it rises, clad in a glass curtain wall with gold-colored vertical fins that preserves views of the original Tribune Tower from the Ogden Slip.  The 1.3 million square-foot building has undergone a few revisions in its scope, increasing the hotel from 200 to 250 keys and reducing the parking count from 687 cars down to 426 spaces. The 564 residential units will remain with the same split of 125 condominiums and 439 rentals. As part of the project, the development will include upgrades on site for both Upper and Lower E. Illinois St for residents and hotel guests entering the building. The existing Pioneer Court Plaza along N Michigan Avenue has already been renovated as part of the first phase to create additional green space and outdoor seating. While construction was originally slated to begin back in early 2022, the new information from CIM Group calls for the commencement of construction in February 2024. With a general contractor yet to be chosen, work is planned to wrap up in September 2027.  ",Streeterville,0
Chicago Fire breaks ground on training facility,"Mayor Lori Lightfoot recently joined Chicago FC Owner and Chairman Joe Mansueto, Alderman Jason Ervin (28th Ward), Chicago Housing Authority (CHA) CEO Tracey Scott, and Mary Baggett, President of the Local Advisory Committee for ABLA/Brooks Homes to celebrate the groundbreaking of the Fire’s new performance and training facility at 1336 S. Loomis in the Roosevelt Square neighborhood on the Near West Side.   ""The Chicago Fire is a top tier football club and the team and its players deserve a top tier training facility,"" said Mayor Lightfoot. ""I am also pleased that the Near West Side community will benefit from the job opportunities, recreational space, and housing support that CFFC has committed to providing as part of this development.""   As a complex for the team to prepare for matches and improve the team, it will include two and a half hybrid grass fields for the team and three synthetic turf fields for the Chicago Fire Academy. An inflatable dome will be placed on top of the northwest field during the colder months from November to March. With Crawford Architects on board for the design, the training facility will measure 53,000 square feet and stand two floors high, down from an original 95,000 square-foot, three-story plan. On the ground floor, program space will include locker rooms, medical space, workout space, hydrotherapy, and a video room. The second floor will host offices, a cafeteria, and meeting space for team operations. A 4,100 square foot building for the field crew will be located just off S. Loomis St and W. Hastings St. The campus will include a pedestrian greenway corridor through the site. Starting at the intersection of S. Loomis St and W. 14th Pl, the pathway will run through the site over to S. Ashland Ave and W. 14th St. Projected to cost $75-80 million, the project will be entirely privately funded by the team, with no city financing. The city recently announced the signing of a ground lease between the Chicago Fire FC and the Chicago Housing Authority that will generate $40 million in revenue for CHA over the next 40 years which will be applied towards the agency’s housing initiatives. With ground broken and the first permit issued, construction can begin on the site. Pepper Construction will be leading the construction of the facility which is targeted for a Summer 2024 opening. ",Near West Side,0
43 Green Phase 2 scores permits,"The second phase of 43 Green, a mixed-use eTOD adjacent to the 43rd CTA Green Line stop, has received both its caisson and full building permit. Located at 4307 S. Prairie, the project will rise to the west of the 43rd Green Line CTA stop.  The Habitat Company and P3 Markets are co-developing the new mixed-use project, which is set to deliver a 10-story building holding 80 residential units and 4,000 square feet of ground floor retail space. Future tenants include a UPS office and dental practice. 13 car parking spaces and 56 bike parking spaces will be provided. With Landon Bone Baker Architects and Moody Nolan collaborating on the design, the building’s massing will define the urban edge at the corner of the property, while using setbacks to reduce the massing of the building adjacent to the neighborhood to the south and CTA L tracks to the east. The massing aims to reference the volume of the first phase, creating two bookends flanking the CTA tracks.  Rising 106 feet, the roofline will match phase one, with the building massing broken up into different sections that exhibit a modulation in facade treatment, creating interest and differentiation along both street frontages. Balconies are used as a massing strategy to erode corners and provide residents with views of the surrounding city. With 80 units in the building, 37 units will be priced at 60% AMI, 7 at 50% AMI, and 36 at market-rate. The unit breakdown will include 24 studios averaging 470 square feet, 48 one-beds averaging 660 square feet, and 8 two-bed apartments that will average 925 square feet. The $45 million project will be funded through a variety of sources, including $10 million in TIF funding, $6.3 million from a HUD mortgage, $20.9 million in LIHTC equity, $6.5 million in multifamily housing funds, and $610,000 in deferred developer fees. The two city-owned lots, appraised at $162,000, will be sold to the developer at $1 per parcel.  With the issuance of both permits, general contractors Bowa Construction and McHugh Construction can begin building the development. Construction was originally planned to begin in January 2023, so the planned completion date of Q2 2024 is likely to be pushed back. ",Bronzeville,1
