article_name,content,neighborhood
"People’s Choice Best Building 2024, (8) Trump Tower vs. (9) Carson Pirie Scott Building","Known for its world-renowned architecture, Chicago has more than its fair share of stellar buildings and towers. From the Sears Tower downtown, to the Frederick C. Robie House out in the neighborhoods, famous architects keep coming back to put their mark on our skyline. We have dozens of iconic buildings around our city, but there can only be one that is the best! In the spirit of March Madness, it’s time to figure out exactly which building is the favorite. With the bracket filled by all of you readers, it’s time to start voting! – – (8) Trump International Hotel and Tower Stats: 401 N. Wabash Ave Height: 1,389 feet Constructed: 2005-2009 Architect: Skidmore, Owings, Merrill (SOM) Formerly the site of the Chicago Sun-Times, former President Trump developed the building which holds 339 hotel suites, 486 condos, and a rooftop restaurant with great views of the city. Designed by SOM, the project was originally planned to be the new world’s tallest building but was stunted by a few hundred feet in the aftermath of 9/11. The setbacks of the metal and glass tower respond to the heights of nearby landmarks, matching the heights of the Wrigley Building, Marina City, and the IBM Building. – (9) Carson Pirie Scott Building Stats: 1 S. State St Height: 207 feet Constructed: 1903 Architect: Louis Sullivan Now known as the Sullivan Center, the former Carson Pirie Scott department store building is a State Street landmark, recognized especially by its richly ornamented, cast-iron entrance at the corner of Madison Street. The building’s signature features are marked by Sullivan’s organic ornament, whose design was inspired by plants native to the Midwestern prairie. The bottom floors are clad in dark green cast iron, softened by elaborate foliated patterns. The corner entrance rotunda is emphasized with additional ornament and crowned by a decorative overhanging cornice. Cast your vote below! ",Citywide
Residential development proposed at 1055 W. Diversey,"Developer Contemporary Concepts Inc has presented plans for their proposed development at 1055 W. Diversey to the local community. Planned at the southeast corner of W. Diversey Pkwy and N. Seminary Ave, the project site is currently occupied by a former church building whose congregation is moving to a different location.  Designed by Studio Dwell Architects, the new development would stand five stories tall with 24 residential units. The residential units will be split into one one-bed, nine two-beds, 13 three-beds, and one four-bedroom unit. While four units will be set aside as affordable, the market rate units will be priced at $3000/month for two-beds, $4,000-$4,200/month for three-beds, and $5,500/month for the four-bedroom unit. Rising approximately 58 feet tall, the five-story building will be clad in brick with metal accent panels and a sawtooth brick pattern accent on the ground floor. The windows on the ground floor will feature limestone surrounds.  The building’s residential entry will front N. Seminary Ave, with five residential units and a bike room for 7 bikes on the ground floor. A single accessible parking space will be accessible from the alley. Two of the ground floor residential units will have private terraces. Community members had mixed reactions. One neighbor asked if the developer considered building a larger building, but they felt this size was a sweet spot for buildability and fitting into the neighborhood context. Another neighbor asked for more green initiatives in the building and another neighbor asked for more bike parking. While feedback was mostly positive, one neighbor raised concerns about the lack of parking, but Alderman Knudsen explained how residents in this TOD building would be ineligible for neighborhood permit parking to mitigate impacts on neighbors. To allow for the development to move forward, the developer is seeking a rezoning from RT-4 to B2-3 as well as a set of zoning variations. If they receive support from the alderman, the development team would seek to introduce the zoning application in April, go before the Committee on Zoning and City Council in May and then start the permitting process. The construction period would last approximately a year and they hope to finish in Summer 2025. ",Citywide
"People’s Choice Best Building 2024, (7) Manhattan Building vs. (10) Old Colony Building","Known for its world-renowned architecture, Chicago has more than its fair share of stellar buildings and towers. From the Sears Tower downtown, to the Frederick C. Robie House out in the neighborhoods, famous architects keep coming back to put their mark on our skyline. We have dozens of iconic buildings around our city, but there can only be one that is the best! In the spirit of March Madness, it’s time to figure out exactly which building is the favorite. With the bracket filled by all of you readers, it’s time to start voting! – – (7) Manhattan Building Stats: 431 S. Dearborn St Height: 224 feet Constructed: 1891 Architect: William LeBaron Jenney Designed at a time when towers were new and unproven, William LeBaron Jenney made a design decision to downplay the height of the building by dividing its facade into horizontal sections and added setbacks to appease onlookers of the time. Jenny also experimented with the building’s facade, using a variety of forms, materials, fenestration patterns, and ornamentation. – (10) Old Colony Building Stats: 407 S. Dearborn St Height: 215 feet Constructed: 1894 Architect: Holabird & Roche Characterized by circular turret-like corners and large curving windows, the Old Colony Building was the first tall building to use interior arches for structural bracing. Continuous vertical piers divide the building's long Dearborn Street facade into tall, narrow sections, while continuous horizontal spandrels serve to visually widen the narrow Van Buren Street facade. After years in disrepair, the building was restored and converted into student housing in 2015.   Cast your vote below! ",Citywide
"People’s Choice Best Building 2024, (6) The Rookery vs. (11) Auditorium Building","Known for its world-renowned architecture, Chicago has more than its fair share of stellar buildings and towers. From the Sears Tower downtown, to the Frederick C. Robie House out in the neighborhoods, famous architects keep coming back to put their mark on our skyline. We have dozens of iconic buildings around our city, but there can only be one that is the best! In the spirit of March Madness, it’s time to figure out exactly which building is the favorite. With the bracket filled by all of you readers, it’s time to start voting! – – (6) The Rookery Building Stats: 209 S. LaSalle St Height: 181 feet Constructed: 1888 Architect: Burnham & Root The Rookery Building’s exterior is an experiment in using historical decorative elements to inform a contemporary office building in the late 19th century. The facade contains decorative elements reminiscent of late Roman, Venetian, Moorish and medieval-European architecture. Horizontal bands across the Adams and LaSalle facades draw the eye side to side to minimize the perceived height of the building. The interior light court maximizes the light and air inside the structure and was renovated by Frank Lloyd Wright in 1907. – (11) Auditorium Building Stats: 430 S. Michigan Ave Height: 238 feet Constructed: 1889 Architect: Adler & Sullivan The Auditorium Building helped to bring fine arts to the citizens of Chicago and establish the city as a center for democratic cultural amenities. Designed by Adler & Sullivan with a young Frank Lloyd Wright as a draftsman, the building’s design emphasized both massing and rhythm of repetitive window patterns using load-bearing stone walls with organic ornamentation on the facade.    Cast your vote below! ",Citywide
"People’s Choice Best Building 2024, (5) Fisher Building vs. (12) Sears Tower","Known for its world-renowned architecture, Chicago has more than its fair share of stellar buildings and towers. From the Sears Tower downtown, to the Frederick C. Robie House out in the neighborhoods, famous architects keep coming back to put their mark on our skyline. We have dozens of iconic buildings around our city, but there can only be one that is the best! In the spirit of March Madness, it’s time to figure out exactly which building is the favorite. With the bracket filled by all of you readers, it’s time to start voting! – – (5) Fisher Building Stats: 343 S. Dearborn St Height: 275 feet Constructed: 1896 Architect: D. H. Burnham & Co. Commissioned by paper magnate Lucius Fisher, the Fisher Building is a neo-Gothic tower that features a terracotta facade with large bay windows. The terracotta carvings depict various aquatic creatures like fish and crabs as well eagles, dragons, and mythical creatures. In 2001, the tower was converted to residential use where the terracotta and windows were repaired and replaced. – (12) Sears Tower Stats: 233 S. Wacker Drive Height: 1,451 feet Constructed: 1970-1974 Architect: Skidmore, Owings, Merrill (SOM) Currently the tallest building in Chicago, the Sears Tower is an engineering marvel from SOM, using a bundled tube system of nine squares that allow the tower to achieve a 6.45:1 height-to-width ratio. Costing $160 million when completed, the construction used 76,000 tons of steel, 72,000 cubic yards of concrete, 17,500 tons of mechanical equipment. After years of ownership changes, Sears lost the naming rights to new tenants Willis Group Holdings who gained the naming rights in 2009. The building is currently owned by Blackstone Group, who bought the skyscraper for $1.3 billion in 2015. 
  Cast your vote below! ",Citywide
"People’s Choice Best Building 2024, (4) Reliance Building vs. (13) Carbide and Carbon Building","Known for its world-renowned architecture, Chicago has more than its fair share of stellar buildings and towers. From the Willis Tower downtown, to the Frederick C. Robie House out in the neighborhoods, famous architects keep coming back to put their mark on our skyline. We have dozens of iconic buildings around our city, but there can only be one that is the best! In the spirit of March Madness, it’s time to figure out exactly which building is the favorite. With the bracket filled by all of you readers, it’s time to start voting! – – (4) Reliance Building Stats: 32 N. State St Height: 202 feet Constructed: 1895 Architect: Burnham & Root Designed by Burnham & Root, the Reliance Building exhibited the technical and design advancements of the Chicago School with its steel frame construction and thin curtain wall facade that consists of large bay windows and terracotta. When their client William Hale commissioned the architects to design a 14-story building, a building already existed on the site. Tenants on the upper floors of that existing building didn;t want to give up their leases, so the existing building was jacked up and the new building’s foundations were constructed while the tenants remained above.  – (13) Carbide and Carbon Building Stats: 230 N. Michigan Ave Height: 503 feet Constructed: 1929 Architect: Burnham Brothers The Carbide and Carbon Company, which developed the first dry cell battery, needed a regional headquarters to house its rapidly expanding business. The facade of the lavish Art Deco skyscraper is composed of luxurious polished black granite, green and gold terra cotta and gold leaf with bronze trim. The building’s cap is ornamented with genuine 24 karat gold, though it is only one five-thousandths of an inch thick.    Cast your vote below! ",Citywide
"People’s Choice Best Building 2024, (3) Monadnock Building vs. (14) Chicago Board of Trade","Known for its world-renowned architecture, Chicago has more than its fair share of stellar buildings and towers. From the Willis Tower downtown, to the Frederick C. Robie House out in the neighborhoods, famous architects keep coming back to put their mark on our skyline. We have dozens of iconic buildings around our city, but there can only be one that is the best! In the spirit of March Madness, it’s time to figure out exactly which building is the favorite. With the bracket filled by all of you readers, it’s time to start voting!   – – (3) Monadnock Building Stats: 53 W. Jackson Blvd Height: 215 feet Constructed: 1891-1893 Architect: Burnham & Root, Holabird & Roche Built in two phases, the Monadnock Building exhibits the shift from load-bearing masonry construction to steel frame construction. The northern half, designed by Burnham & Root, was built with load-bearing masonry, with walls reaching six feet in thickness at the base. Built just two years later, the southern half, designed by Holabird & Roche, features a brick and terracotta facade with bay windows. At the time of its completion, the Monadnock Building was the largest office building in the world. – (14) Chicago Board of Trade Stats: 141 W. Jackson Blvd Height: 605 feet Constructed: 1930 Architect: Holabird & Root Designed in the late 1920s, the tower exhibits the Art Deco style that was so popular in that time period. The design features streamlined, geometric and abstract exterior ornamentation with a throne-shaped massing. A faceless aluminum statue of Ceres by artist John Storrs sits on top of the tower’s pyramidal roof. The Chicago Board of Trade is home to the world’s oldest futures and options exchange and was established in 1848 as the central location for negotiating and conducting transactions on the future price of commodities.   Cast your vote below! ",Citywide
"People’s Choice Best Building 2024, (2) Wrigley Building vs. (15) Robie House","Known for its world-renowned architecture, Chicago has more than its fair share of stellar buildings and towers. From the Willis Tower downtown, to the Frederick C. Robie House out in the neighborhoods, famous architects keep coming back to put their mark on our skyline. We have dozens of iconic buildings around our city, but there can only be one that is the best! In the spirit of March Madness, it’s time to figure out exactly which building is the favorite. With the bracket filled by all of you readers, it’s time to start voting!   – – (2) Wrigley Building Stats: 400-410 N. Michigan Ave Height: 438 feet Constructed: 1924 Architect: Graham, Anderson, Probst, & White Originally built for the headquarters of chewing gum magnate William Wrigley Jr.’s company, the Wrigley Building overlooks where Michigan Ave crosses the Chicago River. Modeled after the Seville Cathedral’s Giralda Tower, the modern steel frame construction is clad in an extravagantly detailed ornate facade made up of six different shades of white terracotta.   – (15) Frederick C. Robie House Stats: 5757 S. Woodlawn Ave Constructed: 1909 Architect: Frank Lloyd Wright Designed for businessman Frederick C. Robie, the Robie House is one of the best examples of Frank Lloyd Wright’s Prairie style homes, characterized by strong horizontal lines, low-pitched roofs with long overhangs, long bands of windows, and natural materials. As a departure from traditional homes of the time, the house is designed with the main entrance tucked away to create an entry sequence and journey that resolves in large, free-flowing common spaces on the interior.    Cast your vote below! ",Citywide
Photos: Peek inside the newly completed Tribune Tower condos,"After paying $240 million for Chicago's famous Tribune Tower in 2016, co-developers CIM Group and Golub & Company are finally ready to take the wraps off their multiyear conversion of the landmark 1925 neo-Gothic skyscraper into luxury condominiums. Urbanize Chicago was invited for a sneak peek of the renovation project, overseen by architecture firm Solomon Cordwell Buenz.  The tour began in the development's more contemporary lobby off of Illinois Street. This area led to a bank of elevators for the northern wing of the Tribune complex (the former WGN TV building), which has received a four-story vertical addition to house more condos. From there, a longer-than-expected hallway lined with art zig-zagged southwest to the tower's historic Michigan Avenue lobby. Home to the ""Hall of Inscriptions"" featuring quotes about the press from Voltaire, Benjamin Franklin, and others, this lobby is mostly untouched since it was the only interior portion of the building included in the property's landmark designation. The only noticeable changes are some new lounge furniture and more art. According to the development team, the entire project contains $1 million worth of custom commissioned artwork. Next, we headed to the third-floor amenity level. Here, the so-called ""great room"" includes a large kitchen for entertaining and multiple seating areas that can be used to socialize or work. One such nook, dubbed ""McCormick's study,"" has the original fireplace salvaged from the 24th-floor office of former Chicago Trib owner Col. Robert McCormick.  The third-floor great room opens out onto a nearly one-third-acre private park with lush landscaping and meandering walking paths. Since many residences have private terraces directly overlooking this courtyard, the elevated park has no seating or grills to keep things tranquil. The more active outdoor amenities are located elsewhere in the building. The historic tower's main lobby hall is two and a half stories high, so the western portion of the third-floor amenities features a split-level design. A short flight of stairs connects to the game room with darts and billiards and a pair of private meeting rooms overlooking yet another seating area called the ""Pioneer Court library.""  The next stop was the tower's striking 25th-floor amenity level which is home to a curving terrace that wraps nearly 360 degrees around the building's crown. The space offers outdoor seating, grilling stations, an herb garden, and impressive views of the city and lake between the tower's Gothic flying buttresses. The interior of the 25th floor includes additional lounge seating, a full catering kitchen, and a place to eat if your picnic on the terrace suddenly gets rained out. The amenities keep going on the seventh floor, where residents can enjoy a south-facing sun deck behind the iconic ""Chicago Tribune"" sign and more outdoor grilling stations. This space overlooks Pioneer Court, which is in the midst of its own makeover as part of the Tribune Tower redevelopment. The seventh floor's 75-foot indoor lap pool was still under construction during our walk-through, so snapping photos was off-limits. We also swung by the second-floor fitness center, spa, locker rooms, golf simulator, and indoor putting green. The final stop was Tribune Tower's sales gallery, located in one of the unsold residences. As expected, the condos deliver top-notch finishes, high-end kitchens, and crown moldings throughout. The complex contains 162 for-sale units priced from $900,000 to over $7 million. According to sales director Jeanne Martini, seventy of the condos are under contract, of which 55 have closed. The first owners moved in on June 30, she said. Construction work is ongoing at the tower's base, which will reopen as new retail space. CIM and Golub have already secured a long-term commitment from the Museum of Ice Cream to occupy 13,000 square feet in the tower. Crews are also putting the finishing touches on renovations to Nathan Hale Court along Michigan Avenue. The famous bronze statue of Nathan Hale will be making a return to his namesake courtyard, but poor Mr. Hale is currently entombed in a wooden box marked ""top-heavy."" With the Tribune Tower renovation all but complete, CIM and Golub can next turn their attention to the project's second phase: a 1,422-foot skyscraper slated to rise at the vacant parcel located just to the east of the historic tower (formerly a Tribune employee parking lot). It's unclear when the developers intend to break ground on the ""Tribune East"" supertall, which won city zoning approval in 2020. ",Downtown
Photos: BMO Tower nearing completion next to Union Station,"Workers are putting the finishing touches on downtown's 50-story BMO Tower (also known as Union Station Tower) ahead of the Class A building's anticipated January 2022 opening. Since topping off its concrete core in April, the high-rise at 320 S. Canal Street has received the rest of its structural steel. The 730-foot structure is almost entirely wrapped in glass except for its exterior skip hoist.  Much of the remaining exterior work is focused at the tower's base, where crews from Clark Construction are cladding the V-shaped columns flanking the lobby. Work also continues on the 400-car, two-level parking garage located just west of the tower that will eventually be topped by a 1.5-acre publicly accessible park.  Canada-based BMO Financial Group is signed on to occupy 500,000 square feet in its upcoming 1.5 million-square-foot namesake Chicago skyscraper, developed by Riverside Investment & Development and Convexity Properties and designed by architecture firm Goettsch Partners. The glassy tower replaces an Amtrak parking garage which closed in late 2019.  In addition to developing BMO Tower, the Riverside-Convexity team also has city zoning approval to convert the upper floors of the historic Union Station headhouse across the street into 400 hotel rooms. There's been no word on when that project will begin construction. ",Downtown
Two-tower development slated for 601 W. Monroe adds public dog park,"Vancouver-based Pacific Reach Properties has further refined its plans for a pair of 47- and 40-story high-rise apartment towers at 601 W. Monroe Street. If approved, the Solomon Cordwell Buenz-designed development would bring 1,053 rental units, 30,000 square feet of retail, and 430 parking spaces to a 1.5-acre site in the West Loop Gate, currently occupied by a surface parking lot. The latest raft of changes includes the addition of a 3,000-square-foot publicly accessible dog park next to Heritage Green Park. Additionally, the ground-floor setback on South Desplaines Street has increased four feet to boost the sidewalk width to nearly 20 feet, according to a recent email from the office of Ald. Brendan Reilly (42nd). The developer has also agreed to ""numerous commitments"" to keep neighbors happy during construction, the email said. Putting pressure on a developer to provide a public dog park is hardly a new move for Ald. Reilly, who has previously advocated for canine amenities at Exhibit apartments in River North and the One Bennett Park development in Streeterville. The fact that little else about the proposal has changed since breaking cover in Februrary is an encouraging sign that Pacific Reach Properties is likely close to earning the alderman's blessing for 601 W. Monroe. The proposal will also require the support of the Chicago Plan Commission, Committee on Zoning, Landmarks and Building Standards and City Council before work can begin. The developer will also be on the hook for a $5.5 million contribution to the city's Neighborhood Opportunity Fund, which supports economic investment in underserved communities on the city's South and West sides. If city approvals go as planned, Pacific Reach aims to break ground on the taller 47-story east tower in early 2022 and deliver the building in mid-2024. The 40-story western tower would open in 2025, an executive at Pacific Reach told the Chicago Tribune earlier this year. ",Downtown
Photos: Mixed-use Michigan Avenue tower climbs skyward near Millennium Park,"Work on the upcoming mixed-use high-rise at 300 N. Michigan Avenue is really flying. The estimated $250 million project broke ground last summer in the thick of the global pandemic, and by our rough floor count is well past the halfway point to achieving its 47-story, 523-foot final height. The tower's climbing formwork is even visible from the main branch of the Chicago River.  A joint venture between hometown developers Sterling Bay and Magellan Development Group, the project will include 25,000 square feet of retail space topped by a 280-room CitizenM Hotel occupying floors 6 through 15. Above the hotel, there will be 289 rental apartments and a top-floor amenity terrace for residents offering views of Michigan Avenue, Millennium Park, and Lake Michigan. The transit-oriented development will include just 22 parking spaces located in a below-grade garage. Designed by Chicago-based bKL Architecture, 300 N. Michigan is wrapped in a glass facade with horizontal banding. Its most striking feature is a series of angled structural trusses between the retail and hotel levels which earned the project the nickname the ""M&M building"" by Urbanize Chicago photographer Harry Carmicheal. The development even incorporates the beam geometry into its ""300 N. Michigan"" logo, seen posted just above the ground-floor scaffolding.  The development team is providing seven units of affordable housing on-site and contributing $4 million to the Affordable Housing Fund and $3.9 million for Chicago’s Neighborhood Opportunity Fund, which will be reinvested in the city’s underserved communities. Linn-Mathes serves as general contractor.  The high-rise replaces an older four-story masonry structure which was demolished in 2019. If there's a downside to the new development, it's that it will soon block views of the iconic Art Deco Carbide & Carbon Building from the Michigan Avenue Bridge—so soak up that perspective while you still have the chance.  According to Sterling Bay, 300 N. Michigan is on track for June 2022 occupancy. When the downtown tower opens, it will bring more activity to the already bustling section of Michigan Avenue between Millennium Park and the Chicago River that some have dubbed the ""Millennium Mile."" It will join relatively recent projects such as the MILA apartments, LondonHouse, and the Hotel Julian. ",Downtown
"Downtown high-rise proposal with more than 1,000 apartments moves forward","A proposal from Vancouver-based Pacific Reach Properties for a pair of glassy apartment towers at 601 W. Monroe Street is forging ahead in the city's approval process after the developer filed a recent zoning application for the West Loop Gate project. Rising 47 and 40 stories (535 and 465 feet, respectively) atop a shared podium, the Solomon Cordwell Buenz-designed towers would bring 1,053 rental units, 30,000 square feet of retail, and 430 parking spaces to a 1.5-acre site located between the four Presidential Towers, Heritage Green Park, and Old St. Patrick’s Church. The location is currently home to a surface parking lot.  The two-phase proposal was first revealed by Ald. Brendan Reilly in a February 19 newsletter to neighbors. Reilly said the developer had been working on the proposal since 2018 and the team incorporated a number of changes at the alderman's request. Revisions include cutting the towers down from their original heights of 54 and 47 stories, eliminating a hotel component, increasing retail space, and slightly curbing the amount of parking. The project falls under the city's existing Affordable Requirements Ordinance (ARO) which requires projects that receive a zoning change to provide 10 percent affordable housing (an updated version of the ordinance takes effect in October and bumps the requirements to 20 percent for downtown projects). Pacific Reach will provide seven of its required 105 affordable units on-site and satisfy the remainder of its obligation by paying into the city's Affordable Housing Opportunity Fund, according to the application. The developers will also pay the city $5.5 million for a density bonus.  Mark Marshall, senior vice president of development and construction at Pacific Reach, told the Chicago Tribune in February that his company was ""definitely optimistic"" about the apartment market rebounding post-COVID. If approvals go as planned, the developer aims to break ground on the taller 47-story east tower in early 2022 and deliver the building in mid-2024. The 40-story western tower would open in 2025, Marshall told the newspaper.  Though not quite as ""booming"" as Fulton Market to the west, the area between the Chicago River and Kennedy Expressway is seeing an impressive share of real estate activity. Recent office projects like the adaptive reuse of the Old Post Office will be joined by upcoming commercial developments like BMO Tower and 609 W. Randolph Street. Construction is currently underway on a 373-unit apartment development at 354 N. Union Avenue , and the Chicago Plan Commission recently approved a 413-unit rental tower for the parking lot at 640 W. Washington Boulevard.     ",Downtown
Architects envision new intermodal riverwalk for Chicago River's south branch,"Chicago-area design firm DMAC Architecture has revealed an ambitious vision for bringing new open space and a riverwalk to the south branch of the Chicago River. Located just east of the office building at 300 S. Riverside Plaza, the concept was created in response to Amtrak's concept to reactivate an unused platform near Union Station and add egress stairs to street level. DMAC, working with property owner Third Millennium Group, saw the situation as a chance to create something special. ""We felt there is a solution for egress that can be satisfied in a much better way,"" DMAC founder and principal Dwayne MacEwen told Urbanize. ""You can't make this the 'back door' to Union Station. It should be the front door to the city and river. Chicago exists where it does because of the river. To not embrace it seemed like a missed opportunity."" The concept treats the need for new stairs as a starting point to extend a perimeter walkway around 300 S. Riverside and potentially down to the waterfront with a series of ramps. The upper terrace is envisioned as an outdoor dining area, while the lower levels serve as public gathering spaces and piers that could be used by kayakers, tour boats, and floating ""tree taxi"" islands. The walkways would allow train passengers to emerge from Union Station at river level, while an acoustic ""veil"" and baffle in front of the platforms would help absorb sound. A proposed pedestrian connection would pass beneath the Van Buren Street Bridge and provide access to the redeveloped Old Post Office property.  The landscaping takes inspiration from the location's existing features, which include wild vegetation growing on remnants of the sea caves—a series of sunken waterfront tunnels leftover when engineers reversed the flow of the Chicago River in 1900. The concept also takes advantage of intermodal connectivity at the site, which is served by trains, buses, boats, bicycles, and even helipads on the roof of 300 S. Riverside. Described by Third Millennium Group managing director Adam Mizrachi as a ""love letter to Chicago,"" the so-called Riverwalk@300SRP plan is still very much in the concept phase. Its designers hope renderings of the project can start a conversation about how to make it a reality.  ""This is a 'love letter,' so we're not at the altar yet,"" said MacEwen. ""Developers often look at a project from the standpoint of how it impacts the bottom line, but this is something that the city should want to do.""  ""It's ambitious, we know,"" added the architect. ""But there's also a sense that if phase one is adding the egress stairs from the train platform, let's do it in a way that still allows [the riverwalk] to happen later.""  Amtrak spokesperson Marc Magliari confirmed that have been discussions about activating the unused tracks under the Old Post Office as passenger platforms serving Union Station, but challenges remain and no decision has been made.  ""These tracks were designed to connect to the Old Post Office and not Union Station, so riders would have to cross active tracks to get to them,"" Magliari told Urbanize. ""We have to find a way to solve the issues of getting people from the station to the platform in a safe and accessible way."" Magliari also noted that nearby developments such as Bank of America Tower, Southbank, and The 78 already provide riverwalks on the opposite bank of the river. ""There's the question of where the city intends to build a continuous riverwalk for the south branch,"" Magliari said. This post has been updated with additional information from Amtrak. ",Downtown
BMO Tower tops off across from Union Station,"After breaking ground in late 2019, construction on downtown's upcoming 730-foot-tall BMO Tower topped off on Thursday. Although the 50-story building's steel skeleton and glass curtain wall still need to play catch up, the skyscraper's concrete core has reached its final height. A special beam signed by construction workers was hoisted to the top of the structure to mark the milestone.  To make the official topping-off that much more official, crews from Clark Construction were joined by Chicago Mayor Lori Lightfoot, who touted the development for the 1,500 union jobs it created and the 6,000 office workers who will eventually call the building home. BMO Tower (also known as Union Station Tower) is located at 320 S. Canal Street, just south of the Union Station headhouse and transit center. Development partners Riverside Investment & Development and Convexity Properties were selected to revitalize the station and surrounding Amtrak-owned real estate in 2017.  In addition to developing BMO Tower (which replaced an older Amtrak parking garage), the team also has city approval to eventually convert the upper floors of the historic station into 400 hotel rooms. Chicago-based Goettsch Partners designed the newly topped-off high-rise. It features a glassy facade with vertical striping and large chevron-shaped structural supports at its base. The project also includes a 1.5-acre publicly accessible park atop a 400-car parking garage located just west of the tower. The finished skyscraper is expected to welcome tenants in January 2022. Canada-based BMO Financial Group is signed on to occupy 500,000 square feet in its new 1.5 million-square-foot namesake Chicago skyscraper. Like the Salesforce-anchored office building under construction at Wolf Pont, BMO Tower will face a vastly different office market than when it was originally conceived. The rise of the pandemic and remote work has many companies reevaluating their space needs, and BMO Tower could contribute to a potential glut of unleased space.  The project is located kitty-corner from the massive Old Post Office which was renovated into a whopping 2.8 million square feet of office space in 2019.   ",Downtown
Photos: Checking in on Salesforce Tower at Wolf Point,"Roughly a year after breaking ground along the banks of the Chicago River, downtown's Salesforce Tower is more than 20 floors in the air. The building's concrete core continues to soar skyward and workers have been installing structural steel beams for the past several weeks. Developer Hines Interests and crews from Walsh Construction started work on the $800 million project in April 2020 and have persevered through the pandemic, stay-at-home orders, and economic uncertainty.  The 60-story, 820-foot-tall office tower represents the third and final phase of the three-building Wolf Point Development. It is flanked by the existing 485-foot Wolf Point West apartments and the 660-foot Wolf Point East rental high-rise. Designed by architecture firm Pelli Clarke Pelli, Salesforce Tower Chicago features a glassy curtain wall facade, underground parking, and a continuation of Wolf Point's publicly accessible riverwalk.  Anchor tenant Salesforce will occupy 500,000 square feet in the 1.2 million-square-foot building. The deal gives the company not only naming rights for the tower previously known as Wolf Point South, but also corporate signage at its crown.  The riverfront skyscraper is on pace to finish construction by the end of 2022 and welcome its first tenants in early 2023. In the meantime, downtown Chicago's office market grapples with COVID-related record vacancies and the growing work-from-home trend. Upcoming developments like Salesforce Tower and the 1.5 million-square-foot BMO Tower (under construction near Union Station) will add even more supply to the mix. It's entirely possible that these projects may be the last new office skyscrapers to break ground in Chicago for some time.   ",Downtown
Big changes are coming to Chicago's affordable housing ordinance,"At Wednesday's City Council meeting, Mayor Lori Lightfoot introduced her long-awaited proposal to overhaul Chicago's affordable housing requirements in new development projects. The existing Affordable Requirements Ordinance (ARO) requires residential developments with 10 or more units to set aside a portion of apartments or condos as affordable housing. Projects that are subject to Chicago's ARO include developments that receive a zoning change, financial assistance, or land from the city. Under the current rules, developments that come under the ARO are required to build 10 percent affordable units or pay what are called ""in-lieu"" fees that the city uses to fund other affordable housing programs. Since the policy went into effect in 2007, it has generated $124 million of in-lieu payments but produced only 1,049 affordable residences (as of last year).  The revised ordinance boosts the affordability requirements to 20 percent in developments located downtown, in neighborhoods with low levels of affordable housing, and in so-called ""community preservation areas"" facing displacement of low-income residents. Some areas of the city, such as the West Loop, have already adopted a 20 percent requirement as part of a pilot program enacted by the city in 2017. Under Lightfoot's proposed ordinance, developers can still opt out of building units on-site, but the in-lieu payment fees will increase. At least 50 percent of units are required to be built (either on-site, off-site, or across a combination of the two), which is an increase from the 25 percent required under the current ARO. Off-site units can now be built in any area of the city as long as it is lacking affordable housing. And if a project triggers ARO requirements in a transit-oriented development (TOD), any off-site units must also be located in a similar transit-served area. Additionally, the ordinance requires builders to provide more units for residents earning below the 60 percent area median income (AMI) ""affordability"" threshold established under the previous rules. Developers that decrease that threshold for lower-income residents can build fewer units. The revised rules also include incentives to provide larger family-sized affordable-rate units. ""As city leaders, it is our responsibility to step up and do the work to reverse the adverse effects segregation has had on our city,"" said Mayor Lightfoot in a statement Wednesday. ""These effects, which include disinvestment, gentrification, and a historic life expectancy gap, are at odds with our values of equity and inclusion. ""Thanks to this ordinance, we will be able to better address these negative impacts and move our city that much closer to fully ensuring that all of our residents, regardless of their income, will have the ability and opportunity to live wherever they choose in Chicago."" Lightfoot's proposal incorporates many findings and recommendations from the Department of Housing Inclusionary Housing Task Force. According to a report published by the task force in September, Chicago faces an estimated citywide shortage of nearly 120,000 affordable homes. While few dismiss the problems caused by the city's shortfall of affordable housing, real estate developers have generally cautioned against raising the ARO requirements, arguing that it could make it more difficult to finance new construction. If too restrictive, the new rules could have the opposite effect. Projects that can't get off the ground won't be able to generate any new units of affordable housing or pay the in-lieu fees that bring vital funding to many of the city's other affordable housing initiatives.  Mayor Lightfoot's plan will need to strike a delicate balance to achieve its goal of bringing more affordable housing to the neighborhoods that need it the most.  If the ARO requirements are indeed set too high, we might see a flood of developers rushing projects through city hall before the new rules go into effect.  ",Downtown
BandWith Chicago celebrates groundbreaking of new headquarters,"BandWith Chicago recently celebrated the groundbreaking of their new headquarters in East Garfield Park. Located at 134 S. California, the site, located along S. California Ave stretching from W. Wilcox St down to W. Adams St, is home to the former Loyal Casket factory. Designed by Lamar Johnson Collaborative, the redevelopment will renovate the 21,460-square foot building into the headquarters of BandWith Chicago. The organization provides educational, rehearsal and performance spaces for music and dance students enrolled in their programs. The renovation will also include retail space for beelove cafe and separate administrative offices for Deborah’s Place, an organization which provides social services to homeless women. The approximately $15.5 million development will be funded with $5.6 million in New Market Tax Credits, $2 million in philanthropic gifts and grants, a $2.9 million Bidwell Foundation Term Loan, and $5 million in TIF from the city.  With construction commenced, the project is expected to complete by fall 2025. ",East Garfield Park
